country,capital
Andorra,Andorra la Vella
United Arab Emirates,Abu Dhabi
Afghanistan,Kabul
Antigua and Barbuda,St. John's
Anguilla,The Valley
Albania,Tirana
Armenia,Yerevan
,Willemstad
Angola,Luanda
Antarctica,
Argentina,Buenos Aires
American Samoa,Pago Pago
Austria,Vienna
Australia,Canberra
Aruba,Oranjestad
Åland,Mariehamn
Azerbaijan,Baku
Bosnia and Herzegovina,Sarajevo
Barbados,Bridgetown
Bangladesh,Dhaka
Belgium,Brussels
Burkina Faso,Ouagadougou
Bulgaria,Sofia
Bahrain,Manama
Burundi,Bujumbura
Benin,Porto-Novo
Saint Barthélemy,Gustavia
Bermuda,Hamilton
Brunei,Bandar Seri Begawan
Bolivia,Sucre
Bonaire,
Brazil,Brasilia
Bahamas,Nassau
Bhutan,Thimphu
Bouvet Island,
Botswana,Gaborone
Belarus,Minsk
Belize,Belmopan
Canada,Ottawa
Cocos [Keeling] Islands,West Island
Democratic Republic of the Congo,Kinshasa
Central African Republic,Bangui
Republic of the Congo,Brazzaville
Switzerland,Berne
Ivory Coast,Yamoussoukro
Cook Islands,Avarua
Chile,Santiago
Cameroon,Yaounde
China,Beijing
Colombia,Bogota
Costa Rica,San Jose
,Belgrade
Cuba,Havana
Cape Verde,Praia
Curacao,Willemstad
Christmas Island,Flying Fish Cove
Cyprus,Nicosia
Czechia,Prague
Germany,Berlin
Djibouti,Djibouti
Denmark,Copenhagen
Dominica,Roseau
Dominican Republic,Santo Domingo
Algeria,Algiers
Ecuador,Quito
Estonia,Tallinn
Egypt,Cairo
Western Sahara,El-Aaiun
Eritrea,Asmara
Spain,Madrid
Ethiopia,Addis Ababa
Finland,Helsinki
Fiji,Suva
Falkland Islands,Stanley
Micronesia,Palikir
Faroe Islands,Torshavn
France,Paris
Gabon,Libreville
United Kingdom,London
Grenada,St. George's
Georgia,Tbilisi
French Guiana,Cayenne
Guernsey,St Peter Port
Ghana,Accra
Gibraltar,Gibraltar
Greenland,Nuuk
Gambia,Banjul
Guinea,Conakry
Guadeloupe,Basse-Terre
Equatorial Guinea,Malabo
Greece,Athens
South Georgia and the South Sandwich Islands,Grytviken
Guatemala,Guatemala City
Guam,Hagatna
Guinea-Bissau,Bissau
Guyana,Georgetown
Hong Kong,Hong Kong
Heard Island and McDonald Islands,
Honduras,Tegucigalpa
Croatia,Zagreb
Haiti,Port-au-Prince
Hungary,Budapest
Indonesia,Jakarta
Ireland,Dublin
Israel,Jerusalem
Isle of Man,Douglas
India,New Delhi
British Indian Ocean Territory,Diego Garcia
Iraq,Baghdad
Iran,Tehran
Iceland,Reykjavik
Italy,Rome
Jersey,Saint Helier
Jamaica,Kingston
Jordan,Amman
Japan,Tokyo
Kenya,Nairobi
Kyrgyzstan,Bishkek
Cambodia,Phnom Penh
Kiribati,Tarawa
Comoros,Moroni
Saint Kitts and Nevis,Basseterre
North Korea,Pyongyang
South Korea,Seoul
Kuwait,Kuwait City
Cayman Islands,George Town
Kazakhstan,Astana
Laos,Vientiane
Lebanon,Beirut
Saint Lucia,Castries
Liechtenstein,Vaduz
Sri Lanka,Colombo
Liberia,Monrovia
Lesotho,Maseru
Lithuania,Vilnius
Luxembourg,Luxembourg
Latvia,Riga
Libya,Tripolis
Morocco,Rabat
Monaco,Monaco
Moldova,Chisinau
Montenegro,Podgorica
Saint Martin,Marigot
Madagascar,Antananarivo
Marshall Islands,Majuro
Macedonia,Skopje
Mali,Bamako
Myanmar [Burma],Nay Pyi Taw
Mongolia,Ulan Bator
Macao,Macao
Northern Mariana Islands,Saipan
Martinique,Fort-de-France
Mauritania,Nouakchott
Montserrat,Plymouth
Malta,Valletta
Mauritius,Port Louis
Maldives,Male
Malawi,Lilongwe
Mexico,Mexico City
Malaysia,Kuala Lumpur
Mozambique,Maputo
Namibia,Windhoek
New Caledonia,Noumea
Niger,Niamey
Norfolk Island,Kingston
Nigeria,Abuja
Nicaragua,Managua
Netherlands,Amsterdam
Norway,Oslo
Nepal,Kathmandu
Nauru,Yaren
Niue,Alofi
New Zealand,Wellington
Oman,Muscat
Panama,Panama City
Peru,Lima
French Polynesia,Papeete
Papua New Guinea,Port Moresby
Philippines,Manila
Pakistan,Islamabad
Poland,Warsaw
Saint Pierre and Miquelon,Saint-Pierre
Pitcairn Islands,Adamstown
Puerto Rico,San Juan
Palestine,East Jerusalem
Portugal,Lisbon
Palau,Melekeok
Paraguay,Asuncion
Qatar,Doha
Réunion,Saint-Denis
Romania,Bucharest
Serbia,Belgrade
Russia,Moscow
Rwanda,Kigali
Saudi Arabia,Riyadh
Solomon Islands,Honiara
Seychelles,Victoria
Sudan,Khartoum
Sweden,Stockholm
Singapore,Singapur
Saint Helena,Jamestown
Slovenia,Ljubljana
Svalbard and Jan Mayen,Longyearbyen
Slovakia,Bratislava
Sierra Leone,Freetown
San Marino,San Marino
Senegal,Dakar
Somalia,Mogadishu
Suriname,Paramaribo
South Sudan,Juba
São Tomé and Príncipe,Sao Tome
El Salvador,San Salvador
Sint Maarten,Philipsburg
Syria,Damascus
Swaziland,Mbabane
Turks and Caicos Islands,Cockburn Town
Chad,N'Djamena
French Southern Territories,Port-aux-Francais
Togo,Lome
Thailand,Bangkok
Tajikistan,Dushanbe
Tokelau,
East Timor,Dili
Turkmenistan,Ashgabat
Tunisia,Tunis
Tonga,Nuku'alofa
Turkey,Ankara
Trinidad and Tobago,Port of Spain
Tuvalu,Funafuti
Taiwan,Taipei
Tanzania,Dodoma
Ukraine,Kiev
Uganda,Kampala
U.S. Minor Outlying Islands,
United States,Washington
Uruguay,Montevideo
Uzbekistan,Tashkent
Vatican City,Vatican City
Saint Vincent and the Grenadines,Kingstown
Venezuela,Caracas
British Virgin Islands,Road Town
U.S. Virgin Islands,Charlotte Amalie
Vietnam,Hanoi
Vanuatu,Port Vila
Wallis and Futuna,Mata Utu
Samoa,Apia
Kosovo,Pristina
Yemen,Sanaa
Mayotte,Mamoudzou
South Africa,Pretoria
Zambia,Lusaka
Zimbabwe,Harare
