Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://www.google.com/transparencyreport/traffic/disruptions/111/,US,États-Unis,Tous les produits,08/16/2013,08/16/2013,Google Apps Status Dashboard,http://www.google.com/appsstatus#hl=en&v=issue&ts=1377233999000&sid=1&iid=0a668851fc3f5856b360e2bdb8781fc1,Brief Google services disruption,"From 15:51-15:52 PDT, 50-70% of requests to Google received errors; service was mostly restored 1 min later, and fully restored after 4 mins"
https://www.google.com/transparencyreport/traffic/disruptions/110/,MM,Myanmar,Tous les produits,08/05/2013,08/05/2013,Renesys,http://www.renesys.com/2013/08/myanmar-internet/,Myanmar Internet Disruptions,"On 5 August, all routed networks to Myanmar were withdrawn from the global routing table for a little over an hour resulting in a brief, but…"
https://www.google.com/transparencyreport/traffic/disruptions/85/,TJ,Tadjikistan,YouTube,05/23/2013,,RIA Novosti,http://www.en.rian.ru/world/20130525/181339520.html,Tajikistan Blocks YouTube After Dancing President Video,"The ban may be backlash over a video report of the wedding of President Emomali Rakhmon’s son Rustam, BBC Russian said."
https://www.google.com/transparencyreport/traffic/disruptions/84/,SY,Syrie,Tous les produits,05/15/2013,05/15/2013,AFP,http://www.google.com/hostednews/afp/article/ALeqM5j61PzoB3-aDGG6AOU3pMUgiJkChA?docId=CNG.6d9f4fa5dec795c2597993538722c74f.571,"Internet, telecoms cut across Syria: SANA","Internet and telecommunications in Syria were down across the country, the state news agency SANA reported on Wednesday, saying a fault with…"
https://www.google.com/transparencyreport/traffic/disruptions/82/,SY,Syrie,Tous les produits,05/07/2013,05/08/2013,Washington Post,http://www.washingtonpost.com/blogs/worldviews/wp/2013/05/07/web-monitor-syria-has-largely-disappeared-from-the-internet/,Web monitor: ‘Syria has largely disappeared from the Internet’,"The outage appears to have begun at 2:45 p.m. Eastern time, or 9:45 p.m. in Syria. According to a blog post by Umbrella’s chief technology o…"
https://www.google.com/transparencyreport/traffic/disruptions/72/,TT,Trinité-et-Tobago,Tous les produits,03/29/2013,03/29/2013,Global Voices,http://globalvoicesonline.org/2013/03/31/blackout-has-trinidad-tobago-bloggers-seeing-red/,Blackout has Trinidad & Tobago Bloggers Seeing Red,"Good Friday in Trinidad and Tobago was suddenly dubbed 'Black Friday' as the country descended into darkness, thanks to a nationwide ..."
https://www.google.com/transparencyreport/traffic/disruptions/7/,SY,Syrie,Tous les produits,01/06/2013,01/06/2013,USA Today,http://www.usatoday.com/story/news/world/2013/01/06/syria-assad-speech-violence/1811789/,Defiant Assad Pledges to Continue Fighting,"The Internet was cut in many parts of Damascus ahead of the address, apparently for security reasons, and some streets were closed."
https://www.google.com/transparencyreport/traffic/disruptions/28/,SN,Sénégal,Tous les produits,12/19/2012,12/19/2012,ARTP Senegal,http://www.artpsenegal.net/page_inter2.php?idmenu=5&id=10104&art=402,Perturbations observées sur les services internet et les communications vers l’international au courant de la nuit du 18 décembre...,"Le 18 décembre, à partir de 22h30 et 19 décembre 2012, l’ARTP a noté des perturbations sur les services Internet..."
https://www.google.com/transparencyreport/traffic/disruptions/27/,SY,Syrie,Tous les produits,11/29/2012,12/01/2012,AP,http://bigstory.ap.org/article/syria-rebels-kill-ruling-party-official-bomb,Internet Service Goes Out Across Syria,Activists said President Bashar Assad's regime pulled the plug on the Internet... The government blamed rebel fighters for the outages.
https://www.google.com/transparencyreport/traffic/disruptions/26/,CN,Chine,Tous les produits,11/09/2012,11/09/2012,Guardian,http://www.guardian.co.uk/technology/2012/nov/09/google-services-blocked-china-gmail,Google services blocked in China,Google's search engine and its Gmail web email were among the services affected in China...
https://www.google.com/transparencyreport/traffic/disruptions/25/,HK,Hong Kong,Tous les produits,11/06/2012,11/06/2012,Ars Technica,http://arstechnica.com/information-technology/2012/11/how-an-indonesian-isp-took-down-the-mighty-google-for-30-minutes/,How an Indonesian ISP took down the mighty Google for 30 minutes,"Google's services went offline for many users for nearly a half-hour on the evening of November 5, thanks to an erroneous routing message..."
https://www.google.com/transparencyreport/traffic/disruptions/24/,ID,Indonésie,Tous les produits,11/06/2012,11/06/2012,Wired,http://www.wired.com/wiredenterprise/2012/11/google-indonesia/,How a Network Snafu in Indonesia Blocked Google in California,"Well, it looks like an error at an internet service provider in Indonesia prevented as much as 5 percent of the world’s internet users from…"
https://www.google.com/transparencyreport/traffic/disruptions/21/,IR,Iran,Gmail,09/24/2012,09/29/2012,The Atlantic,http://www.theatlanticwire.com/global/2012/09/google-latest-victim-irans-war-internet/57171/,Google Is the Latest Victim of Iran's War on the Internet,Iran began the process of shutting down citizens' access to the Internet on Sunday by suspending access to Google and Gmail nationwide.
https://www.google.com/transparencyreport/traffic/disruptions/13/,PK,Pakistan,YouTube,09/17/2012,,AFP,http://www.google.com/hostednews/afp/article/ALeqM5jpbjduArEJrz6uueNlrXtFkyepPg?docId=CNG.dec322f25a253822b1ca9cb1386f0791.141,Pakistan blocks YouTube over anti-Islam film,Pakistan blocked access to YouTube on Monday after the video sharing website failed to take down an anti-Islam film...
https://www.google.com/transparencyreport/traffic/disruptions/39/,BD,Bangladesh,YouTube,09/17/2012,06/06/2013,The Independent,http://www.independent.co.uk/news/world/asia/youtube-blocked-in-bangladesh-over-prophet-mohamed-video-8152056.html,YouTube blocked in Bangladesh over Prophet Mohamed video,The government in Bangladesh has blocked YouTube to prevent people from seeing an anti-Islam video...
https://www.google.com/transparencyreport/traffic/disruptions/12/,AF,Afghanistan,YouTube,09/13/2012,01/04/2013,Reuters,http://www.reuters.com/article/2012/09/13/us-protest-afghanistan-youtube-idUSBRE88C0JZ20120913,Afghanistan orders YouTube block over anti-Islam film,Authorities in Afghanistan have ordered that YouTube's website be blocked indefinitely to stop Afghans watching a U.S.-made film...
https://www.google.com/transparencyreport/traffic/disruptions/60/,TJ,Tadjikistan,YouTube,07/27/2012,10/15/2012,RIA Novosti,http://en.rian.ru/world/20120726/174791290.html,"Tajikistan Blocks YouTube over Protests, Users Say",The Tajik authorities blocked access on Thursday to the video-sharing service YouTube in what is believed to be a response to uploaded video…
https://www.google.com/transparencyreport/traffic/disruptions/11/,SY,Syrie,Tous les produits,07/19/2012,07/19/2012,ZDNet,http://www.zdnet.com/syria-disconnects-itself-from-the-internet-for-40-minutes-7000001315/,Syria disconnects itself from the Internet for 40 minutes,"On Thursday, Syria severed all Internet connections to the outside world for a total of 40 minutes."
https://www.google.com/transparencyreport/traffic/disruptions/10/,AU,Australie,Tous les produits,06/06/2012,06/06/2012,itnews,"http://www.itnews.com.au/News/303933,google-australian-services-suffer-20-minute-hit.aspx",Google Australian services hit by data centre outage,Google's Australian and New Zealand services were hobbled briefly last night due to a power outage at one of the Sydney data centres...
https://www.google.com/transparencyreport/traffic/disruptions/9/,BD,Bangladesh,Tous les produits,06/06/2012,06/06/2012,BBC ,http://www.bbc.co.uk/news/technology-18366007,Bangladesh suffers internet disruption after cut cable,Internet users in Bangladesh are facing major disruption to their service after a submarine cable was cut.
https://www.google.com/transparencyreport/traffic/disruptions/8/,KE,Kenya,Tous les produits,04/26/2012,04/26/2012,Renesys,http://www.renesys.com/blog/2012/04/teams-cable-down-again.shtml,TEAMS Cable Down Again,"Only 35 days after a repair ship fixed the TEAMS (The East African Marine System) submarine cable, this cable was cut again this morning..."
https://www.google.com/transparencyreport/traffic/disruptions/20/,CN,Chine,Tous les produits,04/12/2012,04/12/2012,Guardian,http://www.guardian.co.uk/world/2012/apr/12/china-internet-users-foreign-websites,China's internet users temporarily blocked from foreign websites,China's internet users have been cut off from accessing all foreign websites for around an hour in an unexplained incident that sparked spec…
https://www.google.com/transparencyreport/traffic/disruptions/18/,KE,Kenya,Tous les produits,02/25/2012,02/25/2012,AFP,http://www.google.com/hostednews/afp/article/ALeqM5gEucfhRPx_0aoSo2gdWN12GHR3Rw?docId=CNG.d1ac9c692e031f1b0564cbabc8cf4ef8.751,Repairs on Kenya web cable to take three weeks,An undersea fibre optic Internet cable that was sliced by a ship's anchor in the Kenyan port of Mombasa will be fully repaired...
https://www.google.com/transparencyreport/traffic/disruptions/17/,IR,Iran,Gmail,02/19/2012,02/20/2012,Computer Business Review,http://security.cbronline.com/news/internet-again-blocks-internet-access-210212,Iran blocks internet access again,The Iranian government has yet again blocked all encrypted international websites outside of Iran that depend on the Secure Sockets Layer (S…
https://www.google.com/transparencyreport/traffic/disruptions/15/,IR,Iran,Gmail,02/09/2012,02/11/2012,Kabir News,http://kabirnews.com/iran-shut-down-gmail-google-yahoo-and-sites-using-https-protocol/202/,"Iran shuts down Gmail, Google, Yahoo, and Sites using ""HTTPS"" Protocol","Based on reports received from Iran, the government has blocked access to the major sites plus websites using certain “Https” protocols."
https://www.google.com/transparencyreport/traffic/disruptions/45/,PS,Palestine,Tous les produits,11/01/2011,11/01/2011,BBC,http://www.bbc.co.uk/news/world-middle-east-15542820,'Hackers' cut Palestinian phone and internet systems,"The main phone network in the West Bank and Gaza has suffered a sustained attack by computer hackers, the Palestinian Authority (PA) says."
https://www.google.com/transparencyreport/traffic/disruptions/44/,EG,Égypte,Tous les produits,09/09/2011,09/09/2011,,,,All Google services partially accessible.
https://www.google.com/transparencyreport/traffic/disruptions/41/,UZ,Ouzbékistan,Tous les produits,08/11/2011,08/11/2011,RadioFreeEurope/RadioLiberty,http://www.rferl.org/content/dozens_of_websites_in_uzbekistan_experience_access_problems/24295316.html,Dozens Of Websites In Uzbekistan Suffer Access Problems,Dozens of popular websites in Uzbekistan have suffered from intermittent bouts of inaccessibility over the past week... 
https://www.google.com/transparencyreport/traffic/disruptions/40/,SY,Syrie,Tous les produits,06/03/2011,06/04/2011,NBCnews.com,http://www.nbcnews.com/technology/technolog/syrian-government-unplugs-internet-much-country-123075,Syrian government unplugs Internet for much of country,Syria's government appears to have shut down much of the Internet as protests and violence escalate there against President Bashar Assad...
https://www.google.com/transparencyreport/traffic/disruptions/37/,GE,Géorgie,Tous les produits,03/28/2011,03/28/2011,Guardian,http://www.guardian.co.uk/world/2011/apr/06/georgian-woman-cuts-web-access,Georgian woman cuts off web access to whole of Armenia,An elderly Georgian woman was scavenging for copper to sell as scrap when she accidentally sliced through an underground cable...
https://www.google.com/transparencyreport/traffic/disruptions/38/,AM,Arménie,Tous les produits,03/28/2011,03/28/2011,Guardian,http://www.guardian.co.uk/world/2011/apr/06/georgian-woman-cuts-web-access,Georgian woman cuts off web access to whole of Armenia,An elderly Georgian woman was scavenging for copper to sell as scrap when she accidentally sliced through an underground cable...
https://www.google.com/transparencyreport/traffic/disruptions/36/,LY,Libye,Tous les produits,03/03/2011,08/21/2011,Rensys,http://www.renesys.com/blog/2011/02/libyan-disconnect-1.shtml,Libyan Disconnect,"Renesys confirms that the 13 globally routed Libyan network prefixes were withdrawn at 23:18 GMT (Friday night, 1:18am Saturday local time…"
https://www.google.com/transparencyreport/traffic/disruptions/35/,TR,Turquie,Blogger,03/01/2011,04/22/2011,World Bulletin,http://www.worldbulletin.net/?aType=haber&ArticleID=70494,Turkish court blocks Google's blogging site,"Google's famous blog hosting service, blogspot.com/blogger.com, has been banned following complaints by digital satellite platform Digiturk…"
https://www.google.com/transparencyreport/traffic/disruptions/34/,LY,Libye,Tous les produits,02/18/2011,07/10/2011,Los Angeles Times,http://latimesblogs.latimes.com/technology/2011/02/libya-has-shut-down-the-internet-in-light-of-protests-reports-say.html,Libya's Internet reportedly down as violence against anti-government protesters continues,"The Internet has been shut down in Libya, according to multiple reports."
https://www.google.com/transparencyreport/traffic/disruptions/33/,LY,Libye,YouTube,02/17/2011,07/10/2011,BBC,http://www.bbc.co.uk/news/world-middle-east-12512202,Libya media crackdown amid anti-government protests,"Col Muammar Gaddafi's government in Libya has taken a series of measures, including blocking internet sites and shutting off electricity..."
https://www.google.com/transparencyreport/traffic/disruptions/31/,IR,Iran,Google Vidéos,01/30/2011,08/20/2012,Reuters,http://www.reuters.com/article/2011/01/31/iran-internet-censor-idUSLDE70U0Q920110131,More news websites blocked in Iran,Iranians have found their access to major news websites even more restricted than usual as more foreign sites were blocked by a government f…
https://www.google.com/transparencyreport/traffic/disruptions/30/,EG,Égypte,Tous les produits,01/27/2011,02/02/2011,New York Times,http://www.nytimes.com/2011/01/29/technology/internet/29cutoff.html,Egypt Cuts Off Most Internet and Cell Service,"[The] Internet has never faced anything like what happened in Egypt on Friday, when the government of a country with 80 million people and a…"
https://www.google.com/transparencyreport/traffic/disruptions/29/,SD,Soudan,YouTube,01/27/2011,01/28/2011,,,,YouTube was partially accessible for 3 days
https://www.google.com/transparencyreport/traffic/disruptions/50/,TR,Turquie,YouTube,05/31/2010,10/30/2010,Open Net Initiative ,https://opennet.net/blog/2010/06/turkey-blocks-youtube-inadvertently-blocks-google-services,"Turkey Blocks YouTube, Inadvertently Blocks Google Services",Turkish internet users have been tweeting that that they have been unable to access some Google Services over the past few days...
https://www.google.com/transparencyreport/traffic/disruptions/75/,TR,Turquie,Google Traduction,05/31/2010,06/08/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/76/,TR,Turquie,Google Livres,05/31/2010,06/08/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/74/,TR,Turquie,Google Documents,05/31/2010,06/09/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/49/,PK,Pakistan,YouTube,05/20/2010,05/26/2010,Washington Post,http://voices.washingtonpost.com/comic-riffs/2010/05/draw_muhammad_day_pakistan_exp.html,'Draw Muhammad Day': Pakistan bans YouTube; Facebook still blocked,"A day after ordering that Facebook be blocked, the government also banned the video-sharing site, citing its ""growing sacrilegious content…"
https://www.google.com/transparencyreport/traffic/disruptions/48/,MM,Myanmar,Recherche Google,03/09/2010,05/01/2012,AP,http://www.france24.com/en/20101104-internet-crippled-ahead-election-burma-myanmar-cyber-attack,Internet crippled ahead of Burmese election,"A massive cyber attack has crippled Internet services in Myanmar ahead of Sunday's election, IT experts and web service providers say..."
https://www.google.com/transparencyreport/traffic/disruptions/47/,LY,Libye,YouTube,01/23/2010,08/21/2011,Global Voices,http://advocacy.globalvoicesonline.org/2010/02/09/libya-blocks-access-to-youtube-and-independent-websites/,Libya blocks access to Youtube and independent websites,"On January 24th, 2010, Libya Telecom and Technology (LTT) has blocked access to the popular video sharing website YouTube..."
https://www.google.com/transparencyreport/traffic/disruptions/46/,KZ,Kazakhstan,Blogger,01/12/2010,06/27/2012,Radio Free Europe/Radio Liberty,http://www.rferl.org/content/NGO_Says_14_Websites_Being_Blocked_In_Kazakhstan/1941642.html,NGO Says 14 Websites Being Blocked In Kazakhstan,The Kazakh nongovernmental organization For The Free Internet announced today that at least 14 websites have been blocked...
https://www.google.com/transparencyreport/traffic/disruptions/58/,CN,Chine,Google Sites,10/11/2009,,,,,Google Sites inaccessible.
https://www.google.com/transparencyreport/traffic/disruptions/57/,MA,Maroc,Google Earth,08/04/2009,,Sahara Press Service,http://www.spsrasd.info/en/content/censorship-internet-morocco,Censorship of the internet in the Morocco,"Total censorship of Google Earth to the Morocco is a case unique in the world, while some countries have asked Google to not display..."
https://www.google.com/transparencyreport/traffic/disruptions/56/,CN,Chine,Picasa Albums Web,07/16/2009,,Shanghai Tech Writer,http://www.shanghaitechwriter.com/2009/07/25/google-picasa-web-album-blocked-in-china/,Google Picasa Web Album Blocked in China,"Starting last week, Google’s Picasa Web Album has been blocked in China, adding to an already long list of websites blocked..."
https://www.google.com/transparencyreport/traffic/disruptions/73/,TR,Turquie,Google Sites,06/24/2009,,Denizli 2nd Criminal Court of Peace,https://www.google.com/transparencyreport/resources/47236359.pdf,Court Order,ACCESS to the Website named http://sites.google.com/ be BANNED pursuant to Article 8 of the Law no 5651
https://www.google.com/transparencyreport/traffic/disruptions/55/,IR,Iran,YouTube,06/13/2009,,AFP,http://www.google.com/hostednews/afp/article/ALeqM5jSPlmVgh-SfeEO9WhpOVG6Slnu0w,"Mobile phones, Facebook, YouTube cut in Iran",The main mobile telephone network in Iran was cut...popular Internet websites Facebook and YouTube also appeared to be blocked...
https://www.google.com/transparencyreport/traffic/disruptions/54/,CN,Chine,Blogger,06/02/2009,07/28/2009,Danwei,http://www.danwei.org/net_nanny_follies/bloggercom_blocked_but_not_the.php,"Blogger.com blocked, but not the Washington Post","Google's blogging platform Blogspot, aka Blogger.com, is blocked again."
https://www.google.com/transparencyreport/traffic/disruptions/53/,CN,Chine,YouTube,03/23/2009,,New York Times,http://www.nytimes.com/2009/03/25/technology/internet/25youtube.html,"YouTube Blocked in China, Google Says",Google said Tuesday that its YouTube video-sharing Web site had been blocked in China.
https://www.google.com/transparencyreport/traffic/disruptions/52/,BD,Bangladesh,YouTube,03/06/2009,03/11/2009,BBC,http://news.bbc.co.uk/2/hi/7932659.stm,Bangladesh imposes YouTube block,The video-sharing web site YouTube has been blocked by Bangladesh after a recording of a meeting between the PM and army officers was posted…
https://www.google.com/transparencyreport/traffic/disruptions/43/,MM,Myanmar,YouTube,,08/23/2011,Reuters,http://www.reuters.com/article/2011/09/15/us-myanmar-media-idUSTRE78E2QJ20110915,Myanmar lifts bans on foreign news websites,"Myanmar lifted bans on prominent news websites on Thursday, including some run by critics of the army-dominated government..."
https://www.google.com/transparencyreport/traffic/disruptions/32/,SY,Syrie,YouTube,,02/08/2011,Associated Press,http://www.alarabiya.net/articles/2011/02/08/136844.html,Syria appears to lift ban on Facebook & YouTube,Internet users in Syria say Facebook and YouTube are available for the first time in three years amid signs Damascus may be lifting its ban…
